"sample_id","site_id","day","month","year","taxon_id","taxon","abundance"
"106000008_1.7.1980","106000008","1","7","1980","5131","Ephemerella ignita",345
"106000008_1.8.1981","106000008","1","8","1981","5131","Ephemerella ignita",30
"106000008_1.7.1986","106000008","1","7","1986","5131","Ephemerella ignita",500
"106000008_1.7.1987","106000008","1","7","1987","5131","Ephemerella ignita",430
"106000008_1.8.1997","106000008","1","8","1997","5131","Ephemerella ignita",50
"106000008_1.7.2005","106000008","1","7","2005","5131","Ephemerella ignita",960
"106000008_1.6.2010","106000008","1","6","2010","5131","Ephemerella ignita",125
"106000009_1.6.1979","106000009","1","6","1979","5131","Ephemerella ignita",10
"106000009_1.7.1986","106000009","1","7","1986","5131","Ephemerella ignita",60
"106000009_1.7.1987","106000009","1","7","1987","5131","Ephemerella ignita",700
"106000009_1.8.1991","106000009","1","8","1991","5131","Ephemerella ignita",5
"106000009_1.6.1993","106000009","1","6","1993","5131","Ephemerella ignita",43
"106000009_1.7.2005","106000009","1","7","2005","5131","Ephemerella ignita",550
"106000009_1.8.2009","106000009","1","8","2009","5131","Ephemerella ignita",10
"106000009_1.6.2010","106000009","1","6","2010","5131","Ephemerella ignita",315
"106000009_1.7.2011","106000009","1","7","2011","5131","Ephemerella ignita",12
"106000008_1.8.1997","106000008","1","8","1997","5134","Ephemerella mesoleuca",51
"106000007_1.7.1986","106000007","1","7","1986","4771","Crenobia alpina",45
"106000007_1.7.1986","106000007","1","7","1986","5018","Dugesia gonocephala",10
"106000007_1.7.1986","106000007","1","7","1986","5075","Eiseniella tetraedra",15
"106000007_1.7.1986","106000007","1","7","1986","5908","Lumbricus rubellus",5
"106000007_1.7.1986","106000007","1","7","1986","5959","Mesenchytraeus armatus",5
"106000007_1.7.1986","106000007","1","7","1986","6937","Stylodrilus sp.",30
"106000007_1.7.1986","106000007","1","7","1986","4408","Baetis melanonyx",50
"106000007_1.7.1986","106000007","1","7","1986","4409","Baetis muticus",5
"106000007_1.7.1986","106000007","1","7","1986","6370","Perla marginata",10
"106000007_1.7.1986","106000007","1","7","1986","6616","Protonemura sp.",5
"106000007_1.7.1986","106000007","1","7","1986","5598","Hydropsyche instabilis",5
"106000007_1.7.1986","106000007","1","7","1986","6176","Oecismus monedula monedula",25
