"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Ablabesmyia longistyla",31,3,71.7,28.3,15
"Ablabesmyia monilis",8,3,86.8,13.2,7
"Ablabesmyia phatta",2,2,96.2,3.8,2
"Acentrella lapponica",2,1,96.2,3.8,2
"Acentria ephemerella",42,3,71.7,28.3,15
"Acilius canaliculatus",7,3,86.8,13.2,7
"Acilius sulcatus",7,3,86.8,13.2,7
"Acricotopus lucens",26,2,73.6,26.4,14
"Acroloxus lacustris",1181,10,13.2,86.8,46
"Adicella reducta",156,7,62.3,37.7,20
"Aedes annulipes",2,2,96.2,3.8,2
"Aeolosoma hemprichi",2,2,96.2,3.8,2
"Aeshna affinis",8,1,86.8,13.2,7
"Aeshna cyanea",17,6,77.4,22.6,12
"Aeshna grandis",19,3,77.4,22.6,12
"Aeshna isosceles",4,1,94.3,5.7,3
"Aeshna juncea",1,1,98.1,1.9,1
"Aeshna mixta",11,5,83,17,9
"Agabus bipustulatus",14,4,84.9,15.1,8
"Agabus didymus",42,2,69.8,30.2,16
"Agabus guttatus",26,4,69.8,30.2,16
"Agabus labiatus",1,1,98.1,1.9,1
"Agabus melanarius",2,1,96.2,3.8,2
"Agabus nebulosus",2,1,96.2,3.8,2
"Agabus paludosus",135,5,47.2,52.8,28
"Agabus sturmii",10,2,83,17,9
"Agabus uliginosus",4,1,92.5,7.5,4
"Agabus undulatus",8,4,84.9,15.1,8
"Agapetus delicatulus",13,3,79.2,20.8,11
"Agapetus fuscipes",1031,7,54.7,45.3,24
"Agapetus iridipennis",1,1,98.1,1.9,1
"Agapetus laniger",1,1,98.1,1.9,1
"Agapetus moselyi",8,1,84.9,15.1,8
"Agapetus ochripes",810,8,54.7,45.3,24
"Agnetina elegantula",1,1,98.1,1.9,1
"Agraylea multipunctata",48,2,64.2,35.8,19
"Agraylea pallicornis",11,1,86.8,13.2,7
"Agraylea sexmaculata",6,2,88.7,11.3,6
"Agriotypus armatus",6,2,88.7,11.3,6
"Agrypnia obsoleta",7,3,92.5,7.5,4
"Agrypnia pagetana",2,2,96.2,3.8,2
"Agrypnia varia",1,1,98.1,1.9,1
"Alainites muticus",955,12,35.8,64.2,34
"Alboglossiphonia heteroclita",307,7,20.8,79.2,42
"Alboglossiphonia hyalina",57,2,71.7,28.3,15
"Alboglossiphonia striata",12,1,86.8,13.2,7
"Allogamus auricollis",19,3,73.6,26.4,14
"Allogamus uncatus",2,1,96.2,3.8,2
"Ameletus inopinatus",312,5,43.4,56.6,30
"Ametropus fragilis",4,1,92.5,7.5,4
"Amphinemura borealis",1171,4,50.9,49.1,26
"Amphinemura standfussi",777,6,47.2,52.8,28
"Amphinemura sulcicollis",1290,7,35.8,64.2,34
"Ampullaceana balthica",2336,11,9.4,90.6,48
"Anabolia brevipennis",15,1,79.2,20.8,11
"Anabolia furcata",284,5,47.2,52.8,28
"Anabolia laevis",16,2,79.2,20.8,11
"Anabolia nervosa",1505,6,26.4,73.6,39
"Anacaena bipustulata",50,3,54.7,45.3,24
"Anacaena globulus",213,5,32.1,67.9,36
"Anacaena limbata",205,5,39.6,60.4,32
"Anacaena lutescens",71,5,54.7,45.3,24
"Anatopynia plumipes",3,2,94.3,5.7,3
"Anax imperator",64,4,64.2,35.8,19
"Anax parthenope",17,1,79.2,20.8,11
"Ancylus fluviatilis",5069,17,5.7,94.3,50
"Anisops sardeus",2,1,96.2,3.8,2
"Anisus septemgyratus",37,3,66,34,18
"Anisus vortex",1798,7,26.4,73.6,39
"Anisus vorticulus",27,3,75.5,24.5,13
"Annitella obscurata",2,1,96.2,3.8,2
"Anodonta anatina",159,6,64.2,35.8,19
"Anodonta cygnea",159,6,32.1,67.9,36
"Anomalopterygella chauviniana",57,3,62.3,37.7,20
"Anopheles maculipennis",45,3,67.9,32.1,17
