"study_site","p_years_miss","p_years_pres","no_records","country","no_species","no_genus","p_spec","p_gen","p_cors"
"Austria_116000004",84.9,15.1,367,"Austria",85,73,60.4904632152589,28.3378746594005,11.1716621253406
"Austria_116000007",84.9,15.1,340,"Austria",83,86,53.8235294117647,31.4705882352941,14.7058823529412
"Belgium_121000003",83,17,189,"Belgium",1,29,0,69.3121693121693,30.6878306878307
"Belgium_121000004",84.9,15.1,206,"Belgium",1,31,0,65.0485436893204,34.9514563106796
"Belgium_121000005",83,17,208,"Belgium",2,30,0.480769230769231,52.4038461538462,47.1153846153846
"Belgium_121000007",84.9,15.1,185,"Belgium",2,36,0.540540540540541,71.3513513513514,28.1081081081081
"Belgium_121000009",84.9,15.1,180,"Belgium",1,28,0,65,35
"Belgium_121000010",83,17,231,"Belgium",1,29,0,50.6493506493506,49.3506493506493
"Belgium_121000011",84.9,15.1,147,"Belgium",1,26,0,53.7414965986395,46.2585034013605
"Belgium_121000013",81.1,18.9,269,"Belgium",1,49,0,73.6059479553903,26.3940520446097
"Belgium_121000015",81.1,18.9,207,"Belgium",1,30,0,49.7584541062802,50.2415458937198
"Belgium_121000016",75.5,24.5,288,"Belgium",1,30,0,52.4305555555556,47.5694444444444
"Belgium_121000017",83,17,188,"Belgium",1,30,0,56.3829787234042,43.6170212765958
"Belgium_121000019",84.9,15.1,136,"Belgium",1,20,0,44.8529411764706,55.1470588235294
"Belgium_121000021",83,17,218,"Belgium",1,33,0,67.8899082568807,32.1100917431193
"Belgium_121000028",79.2,20.8,295,"Belgium",1,33,0,55.9322033898305,44.0677966101695
"Belgium_121000029",84.9,15.1,204,"Belgium",1,35,0,66.1764705882353,33.8235294117647
"Belgium_121000034",84.9,15.1,162,"Belgium",1,28,0,48.1481481481481,51.8518518518518
"Belgium_121000040",81.1,18.9,188,"Belgium",1,19,0,43.6170212765958,56.3829787234042
"Belgium_121000042",81.1,18.9,256,"Belgium",2,43,0.390625,72.265625,27.34375
"Belgium_121000044",79.2,20.8,305,"Belgium",2,45,2.29508196721311,72.1311475409836,25.5737704918033
"Belgium_121000045",84.9,15.1,218,"Belgium",2,41,1.8348623853211,72.0183486238532,26.1467889908257
"Belgium_121000047",79.2,20.8,232,"Belgium",1,27,0,64.2241379310345,35.7758620689655
"Belgium_121000049",84.9,15.1,183,"Belgium",1,32,0,55.1912568306011,44.8087431693989
