"name","nsite1","nsite2","trend","p.value","std.error","MCP1","taxonKey","MCP2","order","family","perc_range_coverage"
"Ablabesmyia longistyla",2,11,0.00296719054016843,0.766302305184307,0.00992029515265293,295153295683.072,1450425,4279882882473.96,"Diptera","Chironomidae",6.9
"Ablabesmyia monilis",2,6,0.00544546909354988,0.254006245836004,0.00471003343323804,306868201472.503,1450453,15719778189813.5,"Diptera","Chironomidae",1.95
"Acentria ephemerella",16,27,-0.000601199001985973,0.7958448621083,0.00232197608184226,91547035863.9789,4531687,50464006861159.1,"Lepidoptera","Crambidae",0.18
"Acilius canaliculatus",1,5,-0.00646220309744894,0.096091173755315,0.00371700309224203,504851415656.76,4470284,17922684098634.9,"Coleoptera","Dytiscidae",2.82
"Acricotopus lucens",2,15,-0.00833030276771678,0.352364451084994,0.00885778215924832,14819181842.234,1447055,2607278950971.06,"Diptera","Chironomidae",0.57
"Acroloxus lacustris",47,331,0.00909528012585895,1.84655013748785e-05,0.00211416114314173,2874082866854.67,4359157,9957728799399.13,"Lymnaeida","Acroloxidae",28.86
"Adicella reducta",8,57,0.002840830091763,0.0854719490127644,0.00164262041605147,1048100042027,1436697,3576538643217.01,"Trichoptera","Leptoceridae",29.3
"Aedes annulipes",1,2,-0.00258051727926206,0.674978365543284,0.00605397605286908,NA,1652347,7821613092251.02,"Diptera","Culicidae",NA
"Aeshna cyanea",1,15,0.00300901101638447,0.404152568460127,0.00354328012307053,723451144430.644,1425240,18900298877420.3,"Odonata","Aeshnidae",3.83
"Aeshna grandis",1,14,0.000625245517371971,0.896978439121045,0.00476794292092641,546296611680.061,1425264,14199884036429.5,"Odonata","Aeshnidae",3.85
"Aeshna mixta",3,9,0.00164258110185411,0.8536324248608,0.00886822164842389,1483452125564.72,1425177,100908192916574,"Odonata","Aeshnidae",1.47
"Agabus bipustulatus",2,13,-0.000532229234226416,0.850771070733667,0.00281274982794307,523728171462.338,4469860,13147131883731.5,"Coleoptera","Dytiscidae",3.98
"Agabus didymus",7,28,0.000859349798691037,0.620727509998823,0.00173311567766372,175785854898.715,4469876,4387169950955.64,"Coleoptera","Dytiscidae",4.01
"Agabus guttatus",5,16,0.000698412195488693,0.82565878317552,0.00316261040521022,970630852032.194,4469878,8758698904354.68,"Coleoptera","Dytiscidae",11.08
